ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1464004,ABDUL HADI Farah Ann,F,27,NA,NA,Malaysia,MAS,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Women's Uneven Bars,NA
1464004,ABDUL HADI Farah Ann,F,27,NA,NA,Malaysia,MAS,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Women's Balance Beam,NA
1464004,ABDUL HADI Farah Ann,F,27,NA,NA,Malaysia,MAS,2020 Summer,2020,Summer,Tokyo,Artistic Gymnastics,Women's Floor Exercise,NA
1359420,ABDUL RAHMAN Kiria Tikanah,F,21,NA,NA,Singapore,SGP,2020 Summer,2020,Summer,Tokyo,Fencing,Women's Épée Individual,NA
1798789,ABDUL RAZZAQ Fathimath Nabaaha,F,22,NA,NA,Maldives,MDV,2020 Summer,2020,Summer,Tokyo,Badminton,Women's Singles,NA
1484611,ABDULHAMID Saud,M,22,NA,NA,Saudi Arabia,KSA,2020 Summer,2020,Summer,Tokyo,Football,Men Team,NA
1327781,ABDULJABBAR Ammar Riad,M,25,NA,NA,Germany,GER,2020 Summer,2020,Summer,Tokyo,Boxing,Men's Heavy (81-91kg),NA
1285960,ABDULLAEV Gulomjon,M,22,NA,NA,Uzbekistan,UZB,2020 Summer,2020,Summer,Tokyo,Wrestling,Men's Freestyle 57kg,NA
1284000,ABDULLAEV Muminjon,M,31,NA,NA,Uzbekistan,UZB,2020 Summer,2020,Summer,Tokyo,Wrestling,Men's Greco-Roman 130kg,NA
1321507,ABDULLAH Rahmat Erwin,M,20,NA,NA,Indonesia,INA,2020 Summer,2020,Summer,Tokyo,Weightlifting,Men's 73kg,Bronze
1436411,ABDULLAYEV Mahammad,M,22,NA,NA,Azerbaijan,AZE,2020 Summer,2020,Summer,Tokyo,Boxing,Men's Super Heavy (+91kg),NA
1306001,ABDULLIN Ilfat,M,23,NA,NA,Kazakhstan,KAZ,2020 Summer,2020,Summer,Tokyo,Archery,Men's Individual,NA
1306001,ABDULLIN Ilfat,M,23,NA,NA,Kazakhstan,KAZ,2020 Summer,2020,Summer,Tokyo,Archery,Men's Team,NA
1301070,ABDULREDHA Mohamed,M,31,NA,NA,Bahrain,BRN,2020 Summer,2020,Summer,Tokyo,Handball,Men Team,NA
